GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kelompok10,com.capstone.kelompok10.config,SecurityConfig,0,968,0,0,0,52,0,4,0,4
kelompok10,com.capstone.kelompok10.service.email,EmailValidatorService,4,6,0,0,1,2,1,1,1,1
kelompok10,com.capstone.kelompok10.service.email,EmailSenderServiceImpl,39,10,0,0,12,3,1,2,1,2
kelompok10,com.capstone.kelompok10.service.email,PhonePasswordValidator,79,7,16,0,22,2,10,2,2,2
kelompok10,com.capstone.kelompok10.model.entity,CartEntity,315,42,62,0,6,5,42,9,11,9
kelompok10,com.capstone.kelompok10.model.entity,HistoryEntity,158,19,30,0,3,4,23,4,8,4
kelompok10,com.capstone.kelompok10.model.entity,FavoriteClassEntity,422,46,86,0,10,3,57,12,14,12
kelompok10,com.capstone.kelompok10.model.entity,BookingEntity,479,75,102,0,5,10,60,21,9,21
kelompok10,com.capstone.kelompok10.model.entity,MemberEntity,169,170,45,17,0,10,33,18,2,18
kelompok10,com.capstone.kelompok10.model.entity,NewsletterEntity,191,148,45,17,1,9,34,17,3,17
kelompok10,com.capstone.kelompok10.model.entity,ClassEntity,914,156,198,0,6,21,109,44,10,44
kelompok10,com.capstone.kelompok10.model.entity,FavoriteEntity,236,27,46,0,5,4,33,6,10,6
kelompok10,com.capstone.kelompok10.model.entity,TypeEntity,169,127,39,15,1,8,30,15,3,15
kelompok10,com.capstone.kelompok10.model.entity,RoleEntity,104,106,27,11,0,7,21,12,2,12
kelompok10,com.capstone.kelompok10.model.entity,ContentEntity,191,148,45,17,1,9,34,17,3,17
kelompok10,com.capstone.kelompok10.model.entity,RoomEntity,145,108,33,13,1,7,26,13,3,13
kelompok10,com.capstone.kelompok10.model.entity,InstructorEntity,217,165,51,19,1,10,38,19,3,19
kelompok10,com.capstone.kelompok10.model.entity,MembershipEntity,326,56,70,0,2,9,41,16,6,16
kelompok10,com.capstone.kelompok10.model.entity,CategoryEntity,127,126,33,13,0,8,25,14,2,14
kelompok10,com.capstone.kelompok10.model.entity,PaymentEntity,395,73,86,0,1,12,48,21,5,21
kelompok10,com.capstone.kelompok10.model.entity,UserEntity,897,234,206,0,12,17,120,39,17,39
kelompok10,com.capstone.kelompok10.model.entity,GraphEntity,191,148,45,17,1,9,34,17,3,17
kelompok10,com.capstone.kelompok10.model.entity,RatingEntity,374,51,78,0,6,6,49,14,10,14
kelompok10,com.capstone.kelompok10.security,CustomAuthorizationFilter,125,7,8,0,28,2,6,2,2,2
kelompok10,com.capstone.kelompok10.security,CustomAuthenticationFilter,83,10,0,0,19,4,2,2,2,2
kelompok10,com.capstone.kelompok10.service.implementation,InstructorServiceImpl,30,173,4,4,7,45,4,9,0,9
kelompok10,com.capstone.kelompok10.service.implementation,FavoriteServiceImpl,27,57,2,2,6,12,2,5,0,5
kelompok10,com.capstone.kelompok10.service.implementation,RegisterServiceImpl,317,31,18,0,72,2,16,2,7,2
kelompok10,com.capstone.kelompok10.service.implementation,FavoriteClassServiceImpl,114,59,6,2,24,12,5,5,1,5
kelompok10,com.capstone.kelompok10.service.implementation,RatingServiceImpl,222,98,14,8,49,18,13,8,3,7
kelompok10,com.capstone.kelompok10.service.implementation,CategoryServiceImpl,40,111,5,5,9,30,5,9,0,9
kelompok10,com.capstone.kelompok10.service.implementation,MemberServiceImpl,41,129,5,5,10,35,6,9,1,9
kelompok10,com.capstone.kelompok10.service.implementation,GraphServiceImpl,27,126,3,3,6,31,3,7,0,7
kelompok10,com.capstone.kelompok10.service.implementation,CartServiceImpl,108,89,5,1,24,18,6,6,3,6
kelompok10,com.capstone.kelompok10.service.implementation,RoomServiceImpl,40,145,5,5,9,37,5,9,0,9
kelompok10,com.capstone.kelompok10.service.implementation,PaymentServiceImpl,177,145,6,2,35,37,7,6,3,6
kelompok10,com.capstone.kelompok10.service.implementation,ContentServiceImpl,37,171,4,4,8,44,4,9,0,9
kelompok10,com.capstone.kelompok10.service.implementation,NewsletterServiceImpl,75,133,4,4,19,33,6,7,2,7
kelompok10,com.capstone.kelompok10.service.implementation,ClassServiceImpl,965,329,24,8,218,71,29,13,15,11
kelompok10,com.capstone.kelompok10.service.implementation,MembershipServiceImpl,403,385,34,8,86,89,24,13,4,12
kelompok10,com.capstone.kelompok10.service.implementation,TypeServiceImpl,40,157,5,5,9,40,5,9,0,9
kelompok10,com.capstone.kelompok10.service.implementation,UserServiceImpl,319,479,27,27,73,99,25,28,4,22
kelompok10,com.capstone.kelompok10.service.implementation,RoleServiceImpl,68,126,4,4,18,32,6,9,2,9
kelompok10,com.capstone.kelompok10.service.implementation,HistoryServiceImpl,9,35,1,1,2,8,1,4,0,4
kelompok10,com.capstone.kelompok10.service.implementation,BookingServiceImpl,712,323,38,4,153,66,27,9,6,9
kelompok10,com.capstone.kelompok10,Kelompok10Application.new WebMvcConfigurer() {...},0,48,0,0,0,3,0,2,0,2
